Home Team,Home Score,Away Team,Away Score,Match Date
Real Sociedad,2,Almeria,0, Saturday 29th January 2011.
Hercules,0,Barcelona,3, Saturday 29th January 2011.
Deportivo La Coruna,3,Sevilla,3, Saturday 29th January 2011.
Athletic Bilbao,3,Hercules,0, Monday 24th January 2011.
Almeria,3,Osasuna,2, Sunday 23rd January 2011.
Getafe,1,Espanyol,3, Sunday 23rd January 2011.
Real Zaragoza,1,Deportivo La Coruna,0, Sunday 23rd January 2011.
Sporting Gijon,1,Atletico Madrid,0, Sunday 23rd January 2011.
Real Madrid,1,Real Mallorca,0, Sunday 23rd January 2011.
Villarreal,2,Real Sociedad,1, Sunday 23rd January 2011.
Sevilla,4,Levante,1, Saturday 22nd January 2011.
Barcelona,3,Racing Santander,0, Saturday 22nd January 2011.
Valencia,4,Malaga,3, Saturday 22nd January 2011.
Atletico Madrid,3,Real Mallorca,0, Monday 17th January 2011.
Valencia,2,Deportivo La Coruna,0, Sunday 16th January 2011.
Almeria,1,Real Madrid,1, Sunday 16th January 2011.
Barcelona,4,Malaga,1, Sunday 16th January 2011.
Getafe,0,Real Sociedad,4, Saturday 15th January 2011.
Real Zaragoza,1,Levante,0, Saturday 15th January 2011.
Sporting Gijon,2,Hercules,0, Saturday 15th January 2011.
Villarreal,4,Osasuna,2, Saturday 15th January 2011.
Athletic Bilbao,2,Racing Santander,1, Saturday 15th January 2011.
Sevilla,1,Espanyol,2, Saturday 15th January 2011.
Hercules,4,Atletico Madrid,1, Monday 10th January 2011.
Espanyol,4,Real Zaragoza,0, Sunday 9th January 2011.
Osasuna,0,Getafe,0, Sunday 9th January 2011.
Racing Santander,1,Sporting Gijon,1, Sunday 9th January 2011.
Real Mallorca,4,Almeria,1, Sunday 9th January 2011.
Real Madrid,4,Villarreal,2, Sunday 9th January 2011.
Levante,0,Valencia,1, Sunday 9th January 2011.
Malaga,1,Athletic Bilbao,1, Saturday 8th January 2011.
Real Sociedad,2,Sevilla,3, Saturday 8th January 2011.
Deportivo La Coruna,0,Barcelona,4, Saturday 8th January 2011.
