Home Team,Home Score,Away Team,Away Score,Match Date
Mainz,1,Borussia Dortmund,2, Saturday 24th November 2018.
Wolfsburg,1,RB Leipzig,0, Saturday 24th November 2018.
Schalke,5,FC Nurnberg,2, Saturday 24th November 2018.
Bayer Leverkusen,2,Stuttgart,0, Friday 23rd November 2018.
RB Leipzig,3,Bayer Leverkusen,0, Sunday 11th November 2018.
Eintracht Frankfurt,3,Schalke,0, Sunday 11th November 2018.
FC Nurnberg,0,Stuttgart,2, Saturday 10th November 2018.
Fortuna Dusseldorf,4,Hertha Berlin,1, Saturday 10th November 2018.
Hoffenheim,2,FC Augsburg,1, Saturday 10th November 2018.
SC Freiburg,1,Mainz,3, Saturday 10th November 2018.
Werder Bremen,1,M'gladbach,3, Saturday 10th November 2018.
Borussia Dortmund,3,Bayern Munich,2, Saturday 10th November 2018.
Hannover 96,2,Wolfsburg,1, Friday 9th November 2018.
M'gladbach,3,Fortuna Dusseldorf,0, Sunday 4th November 2018.
Mainz,2,Werder Bremen,1, Sunday 4th November 2018.
Bayer Leverkusen,1,Hoffenheim,4, Saturday 3rd November 2018.
Bayern Munich,1,SC Freiburg,1, Saturday 3rd November 2018.
FC Augsburg,2,FC Nurnberg,2, Saturday 3rd November 2018.
Schalke,3,Hannover 96,1, Saturday 3rd November 2018.
Wolfsburg,0,Borussia Dortmund,1,https://www.skysports.com/football/wolfsburg-vs-b-dortmund/395045
Hertha Berlin,0,RB Leipzig,3, Saturday 3rd November 2018.
Stuttgart,0,Eintracht Frankfurt,3,https://www.skysports.com/football/stuttgart-vs-frankfurt/395044
FC Nurnberg,1,Eintracht Frankfurt,1, Sunday 28th October 2018.
RB Leipzig,0,Schalke,0, Sunday 28th October 2018.
Werder Bremen,2,Bayer Leverkusen,6, Sunday 28th October 2018.
Borussia Dortmund,2,Hertha Berlin,2, Saturday 27th October 2018.
Fortuna Dusseldorf,0,Wolfsburg,3, Saturday 27th October 2018.
Hannover 96,1,FC Augsburg,2, Saturday 27th October 2018.
Mainz,1,Bayern Munich,2, Saturday 27th October 2018.
Hoffenheim,4,Stuttgart,0, Saturday 27th October 2018.
SC Freiburg,3,M'gladbach,1, Friday 26th October 2018.
Hertha Berlin,1,SC Freiburg,1, Sunday 21st October 2018.
M'gladbach,4,Mainz,0, Sunday 21st October 2018.
Bayer Leverkusen,2,Hannover 96,2, Saturday 20th October 2018.
FC Augsburg,0,RB Leipzig,0, Saturday 20th October 2018.
FC Nurnberg,1,Hoffenheim,3, Saturday 20th October 2018.
Stuttgart,0,Borussia Dortmund,4, Saturday 20th October 2018.
Wolfsburg,1,Bayern Munich,3, Saturday 20th October 2018.
Schalke,0,Werder Bremen,2, Saturday 20th October 2018.
Eintracht Frankfurt,7,Fortuna Dusseldorf,1, Friday 19th October 2018.
SC Freiburg,0,Bayer Leverkusen,0, Sunday 7th October 2018.
Hoffenheim,1,Eintracht Frankfurt,2, Sunday 7th October 2018.
RB Leipzig,6,FC Nurnberg,0, Sunday 7th October 2018.
Borussia Dortmund,4,FC Augsburg,3, Saturday 6th October 2018.
Fortuna Dusseldorf,0,Schalke,2, Saturday 6th October 2018.
Hannover 96,3,Stuttgart,1, Saturday 6th October 2018.
Mainz,0,Hertha Berlin,0, Saturday 6th October 2018.
Bayern Munich,0,M'gladbach,3, Saturday 6th October 2018.
Werder Bremen,2,Wolfsburg,0, Friday 5th October 2018.
Eintracht Frankfurt,4,Hannover 96,1, Sunday 30th September 2018.
FC Augsburg,4,SC Freiburg,1, Sunday 30th September 2018.
FC Nurnberg,3,Fortuna Dusseldorf,0, Saturday 29th September 2018.
Hoffenheim,1,RB Leipzig,2, Saturday 29th September 2018.
Schalke,1,Mainz,0, Saturday 29th September 2018.
Stuttgart,2,Werder Bremen,1, Saturday 29th September 2018.
Wolfsburg,2,M'gladbach,2, Saturday 29th September 2018.
Bayer Leverkusen,2,Borussia Dortmund,4, Saturday 29th September 2018.
Hertha Berlin,2,Bayern Munich,0, Friday 28th September 2018.
Fortuna Dusseldorf,1,Bayer Leverkusen,2, Wednesday 26th September 2018.
Borussia Dortmund,7,FC Nurnberg,0, Wednesday 26th September 2018.
M'gladbach,3,Eintracht Frankfurt,1, Wednesday 26th September 2018.
Mainz,0,Wolfsburg,0, Wednesday 26th September 2018.
RB Leipzig,2,Stuttgart,0, Wednesday 26th September 2018.
Werder Bremen,3,Hertha Berlin,1, Tuesday 25th September 2018.
Bayern Munich,1,FC Augsburg,1, Tuesday 25th September 2018.
Hannover 96,1,Hoffenheim,3, Tuesday 25th September 2018.
SC Freiburg,1,Schalke,0, Tuesday 25th September 2018.
Bayer Leverkusen,1,Mainz,0, Sunday 23rd September 2018.
Eintracht Frankfurt,1,RB Leipzig,1, Sunday 23rd September 2018.
FC Augsburg,2,Werder Bremen,3, Saturday 22nd September 2018.
FC Nurnberg,2,Hannover 96,0, Saturday 22nd September 2018.
Hertha Berlin,4,M'gladbach,2, Saturday 22nd September 2018.
Hoffenheim,1,Borussia Dortmund,1, Saturday 22nd September 2018.
Wolfsburg,1,SC Freiburg,3, Saturday 22nd September 2018.
Schalke,0,Bayern Munich,2, Saturday 22nd September 2018.
Stuttgart,0,Fortuna Dusseldorf,0, Friday 21st September 2018.
Werder Bremen,1,FC Nurnberg,1, Sunday 16th September 2018.
SC Freiburg,3,Stuttgart,3, Sunday 16th September 2018.
Bayern Munich,3,Bayer Leverkusen,1, Saturday 15th September 2018.
Fortuna Dusseldorf,2,Hoffenheim,1, Saturday 15th September 2018.
Mainz,2,FC Augsburg,1, Saturday 15th September 2018.
RB Leipzig,3,Hannover 96,2, Saturday 15th September 2018.
Wolfsburg,2,Hertha Berlin,2, Saturday 15th September 2018.
M'gladbach,2,Schalke,1, Saturday 15th September 2018.
Borussia Dortmund,3,Eintracht Frankfurt,1, Friday 14th September 2018.
RB Leipzig,1,Fortuna Dusseldorf,1, Sunday 2nd September 2018.
Schalke,0,Hertha Berlin,2, Sunday 2nd September 2018.
Bayer Leverkusen,1,Wolfsburg,3, Saturday 1st September 2018.
Eintracht Frankfurt,1,Werder Bremen,2, Saturday 1st September 2018.
FC Augsburg,1,M'gladbach,1, Saturday 1st September 2018.
FC Nurnberg,1,Mainz,1, Saturday 1st September 2018.
Hoffenheim,3,SC Freiburg,1, Saturday 1st September 2018.
Stuttgart,0,Bayern Munich,3, Saturday 1st September 2018.
Hannover 96,0,Borussia Dortmund,0, Friday 31st August 2018.
Mainz,1,Stuttgart,0, Sunday 26th August 2018.
Borussia Dortmund,4,RB Leipzig,1, Sunday 26th August 2018.
Fortuna Dusseldorf,1,FC Augsburg,2, Saturday 25th August 2018.
Hertha Berlin,1,FC Nurnberg,0, Saturday 25th August 2018.
SC Freiburg,0,Eintracht Frankfurt,2, Saturday 25th August 2018.
Werder Bremen,1,Hannover 96,1, Saturday 25th August 2018.
Wolfsburg,2,Schalke,1, Saturday 25th August 2018.
M'gladbach,2,Bayer Leverkusen,0, Saturday 25th August 2018.
Bayern Munich,3,Hoffenheim,1, Friday 24th August 2018.
