Home Team,Home Score,Away Team,Away Score,Match Date
Newcastle United,0,West Ham United,1,https://www.skysports.com/football/newcastle-vs-west-ham/274227
Chelsea,1,Liverpool,1, Sunday 11th November 2012.
Arsenal,3,Fulham,3, Saturday 10th November 2012.
Everton,2,Sunderland,1, Saturday 10th November 2012.
Reading,0,Norwich City,0, Saturday 10th November 2012.
Southampton,1,Swansea City,1, Saturday 10th November 2012.
Stoke City,1,Queens Park Rangers,0, Saturday 10th November 2012.
Wigan Athletic,1,West Bromwich Albion,2, Saturday 10th November 2012.
Aston Villa,2,Manchester United,3, Saturday 10th November 2012.
West Bromwich Albion,2,Southampton,0, Monday 5th November 2012.
Queens Park Rangers,1,Reading,1, Sunday 4th November 2012.
Liverpool,1,Newcastle United,1, Sunday 4th November 2012.
Manchester United,2,Arsenal,1, Saturday 3rd November 2012.
Fulham,2,Everton,2, Saturday 3rd November 2012.
Norwich City,1,Stoke City,0, Saturday 3rd November 2012.
Sunderland,0,Aston Villa,1, Saturday 3rd November 2012.
Swansea City,1,Chelsea,1, Saturday 3rd November 2012.
Tottenham Hotspur,0,Wigan Athletic,1, Saturday 3rd November 2012.
West Ham United,0,Manchester City,0, Saturday 3rd November 2012.
Everton,2,Liverpool,2, Sunday 28th October 2012.
Newcastle United,2,West Bromwich Albion,1, Sunday 28th October 2012.
Southampton,1,Tottenham Hotspur,2, Sunday 28th October 2012.
Chelsea,2,Manchester United,3, Sunday 28th October 2012.
Aston Villa,1,Norwich City,1, Saturday 27th October 2012.
Arsenal,1,Queens Park Rangers,0, Saturday 27th October 2012.
Reading,3,Fulham,3, Saturday 27th October 2012.
Stoke City,0,Sunderland,0, Saturday 27th October 2012.
Wigan Athletic,2,West Ham United,1, Saturday 27th October 2012.
Manchester City,1,Swansea City,0, Saturday 27th October 2012.
Sunderland,1,Newcastle United,1, Sunday 21st October 2012.
Queens Park Rangers,1,Everton,1, Sunday 21st October 2012.
Tottenham Hotspur,2,Chelsea,4, Saturday 20th October 2012.
Fulham,1,Aston Villa,0, Saturday 20th October 2012.
Liverpool,1,Reading,0, Saturday 20th October 2012.
Manchester United,4,Stoke City,2, Saturday 20th October 2012.
Swansea City,2,Wigan Athletic,1, Saturday 20th October 2012.
West Bromwich Albion,1,Manchester City,2, Saturday 20th October 2012.
West Ham United,4,Southampton,1, Saturday 20th October 2012.
Norwich City,1,Arsenal,0, Saturday 20th October 2012.
Southampton,2,Fulham,2, Sunday 7th October 2012.
Liverpool,0,Stoke City,0, Sunday 7th October 2012.
Tottenham Hotspur,2,Aston Villa,0, Sunday 7th October 2012.
Newcastle United,0,Manchester United,3, Sunday 7th October 2012.
Manchester City,3,Sunderland,0, Saturday 6th October 2012.
Chelsea,4,Norwich City,1, Saturday 6th October 2012.
Swansea City,2,Reading,2, Saturday 6th October 2012.
West Bromwich Albion,3,Queens Park Rangers,2, Saturday 6th October 2012.
Wigan Athletic,2,Everton,2, Saturday 6th October 2012.
West Ham United,1,Arsenal,3, Saturday 6th October 2012.
Queens Park Rangers,1,West Ham United,2, Monday 1st October 2012.
Aston Villa,1,West Bromwich Albion,1, Sunday 30th September 2012.
Arsenal,1,Chelsea,2, Saturday 29th September 2012.
Everton,3,Southampton,1, Saturday 29th September 2012.
Fulham,1,Manchester City,2, Saturday 29th September 2012.
Norwich City,2,Liverpool,5, Saturday 29th September 2012.
Reading,2,Newcastle United,2, Saturday 29th September 2012.
Stoke City,2,Swansea City,0, Saturday 29th September 2012.
Sunderland,1,Wigan Athletic,0, Saturday 29th September 2012.
Manchester United,2,Tottenham Hotspur,3, Saturday 29th September 2012.
Liverpool,1,Manchester United,2, Sunday 23rd September 2012.
Newcastle United,1,Norwich City,0, Sunday 23rd September 2012.
Manchester City,1,Arsenal,1, Sunday 23rd September 2012.
Tottenham Hotspur,2,Queens Park Rangers,1, Sunday 23rd September 2012.
Swansea City,0,Everton,3, Saturday 22nd September 2012.
Chelsea,1,Stoke City,0, Saturday 22nd September 2012.
Southampton,4,Aston Villa,1, Saturday 22nd September 2012.
West Bromwich Albion,1,Reading,0, Saturday 22nd September 2012.
West Ham United,1,Sunderland,1, Saturday 22nd September 2012.
Wigan Athletic,1,Fulham,2, Saturday 22nd September 2012.
Everton,2,Newcastle United,2, Monday 17th September 2012.
Reading,1,Tottenham Hotspur,3,https://www.skysports.com/football/reading-vs-tottenham/267521
Norwich City,0,West Ham United,0, Saturday 15th September 2012.
Arsenal,6,Southampton,1, Saturday 15th September 2012.
Aston Villa,2,Swansea City,0, Saturday 15th September 2012.
Fulham,3,West Bromwich Albion,0, Saturday 15th September 2012.
Manchester United,4,Wigan Athletic,0, Saturday 15th September 2012.
Queens Park Rangers,0,Chelsea,0, Saturday 15th September 2012.
Stoke City,1,Manchester City,1, Saturday 15th September 2012.
Sunderland,1,Liverpool,1, Saturday 15th September 2012.
Liverpool,0,Arsenal,2, Sunday 2nd September 2012.
Newcastle United,1,Aston Villa,1, Sunday 2nd September 2012.
Southampton,2,Manchester United,3, Sunday 2nd September 2012.
West Ham United,3,Fulham,0, Saturday 1st September 2012.
Swansea City,2,Sunderland,2, Saturday 1st September 2012.
Tottenham Hotspur,1,Norwich City,1, Saturday 1st September 2012.
West Bromwich Albion,2,Everton,0, Saturday 1st September 2012.
Wigan Athletic,2,Stoke City,2, Saturday 1st September 2012.
Manchester City,3,Queens Park Rangers,1, Saturday 1st September 2012.
Stoke City,0,Arsenal,0, Sunday 26th August 2012.
Liverpool,2,Manchester City,2, Sunday 26th August 2012.
Swansea City,3,West Ham United,0, Saturday 25th August 2012.
Aston Villa,1,Everton,3, Saturday 25th August 2012.
Manchester United,3,Fulham,2, Saturday 25th August 2012.
Norwich City,1,Queens Park Rangers,1, Saturday 25th August 2012.
Southampton,0,Wigan Athletic,2, Saturday 25th August 2012.
Tottenham Hotspur,1,West Bromwich Albion,1, Saturday 25th August 2012.
Chelsea,2,Newcastle United,0, Saturday 25th August 2012.
Chelsea,4,Reading,2, Wednesday 22nd August 2012.
Everton,1,Manchester United,0, Monday 20th August 2012.
Wigan Athletic,0,Chelsea,2,https://www.skysports.com/football/wigan-vs-chelsea/267513
Manchester City,3,Southampton,2, Sunday 19th August 2012.
Arsenal,0,Sunderland,0, Saturday 18th August 2012.
Fulham,5,Norwich City,0, Saturday 18th August 2012.
Queens Park Rangers,0,Swansea City,5, Saturday 18th August 2012.
Reading,1,Stoke City,1, Saturday 18th August 2012.
West Bromwich Albion,3,Liverpool,0, Saturday 18th August 2012.
West Ham United,1,Aston Villa,0, Saturday 18th August 2012.
Newcastle United,2,Tottenham Hotspur,1, Saturday 18th August 2012.
